Household_ID;Visit_Year;Visit_Date;Building_Type;Building_HousingUnits;Building_ConstructionYear_Interval;Building_Renovated;Building_FloorAreaHeated_Total;Building_Residents;Building_PVSystem_Available;Building_ElectricVehicle_Available;HeatPump_Installation_Type;HeatPump_Installation_HeatingCapacity;HeatDistribution_System_Radiators;HeatDistribution_System_FloorHeating;HeatDistribution_System_ThermostaticValve;DHW_Production_ByHeatPump;DHW_Production_ByElectricWaterHeater;DHW_Production_BySolar;DHW_Production_ByHeatPumpBoiler;DHW_Circulation_ByTraceHeating;DHW_Circulation_ByCirculationPump;DHW_Circulation_SwitchedByTimer;DHW_Sterilization_Available
1137376;2019;2019-05-28;1.0;1.0;3.0;0.0;200.0;5.0;0.0;0.0;2.0;14.4;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
9880798;2020;2020-02-17;1.0;1.0;5.0;0.0;150.0;4.0;0.0;1.0;2.0;;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
680861;2020;2020-02-17;1.0;1.0;5.0;0.0;400.0;2.0;0.0;0.0;2.0;15.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0
468185;2020;2020-02-25;1.0;1.0;2.0;1.0;300.0;2.0;0.0;0.0;2.0;11.67;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
674801;2020;2020-02-28;1.0;1.0;6.0;0.0;150.0;2.0;0.0;0.0;2.0;8.5;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
781007;2020;2020-02-28;1.0;1.0;4.0;0.0;200.0;2.0;0.0;0.0;2.0;;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
761079;2020;2020-02-28;1.0;1.0;2.0;0.0;250.0;2.0;0.0;0.0;2.0;;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
107998;2020;2020-03-09;1.0;1.0;2.0;1.0;230.0;2.0;0.0;0.0;2.0;13.6;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
461089;2020;2020-03-09;1.0;1.0;2.0;0.0;235.0;2.0;0.0;0.0;2.0;9.74;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
114109;2020;2020-05-07;1.0;1.0;2.0;0.0;200.0;1.0;0.0;0.0;2.0;10.4;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
